"Code","Site","Rugosity","Planar","value","Transect","Urchin","Micro","PF","Depth","year","genus","Taxon","morphology","class","kg_m2_yr"
"HA","Cheeca Rocks",1.68,9.1,14.92537313,6,0,0.404,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.68,9.1,7.462686567,6,0,0.404,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.75,8.7,7.462686567,5,0.011,0.415,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.68,9.1,23.88059701,6,0,0.404,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.71,9,8.955223881,3,0,0.398,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"MDD","Cheeca Rocks",1.75,8.7,8.955223881,5,0.011,0.415,1.107,"shallow",2022,"Madracis","Madracis decactis","encrusting","HC",33.948
"MDD","Cheeca Rocks",1.71,9,10.44776119,3,0,0.398,1.107,"shallow",2022,"Madracis","Madracis decactis","encrusting","HC",33.948
"MDD","Cheeca Rocks",1.68,9.1,14.92537313,6,0,0.404,1.107,"shallow",2022,"Madracis","Madracis decactis","encrusting","HC",33.948
"MIA","Cheeca Rocks",1.68,9.1,2.985074627,6,0,0.404,1.107,"shallow",2022,"Millepora","Millepora alcicornis","branching","HC",28.103
"MOC","Cheeca Rocks",1.64,9.3,44.7761194,2,0.021,0.356,1.107,"shallow",2022,"Montastraea","Montastraea cavernosa","massive","HC",11.89
"MOC","Cheeca Rocks",1.75,8.7,10.44776119,5,0.011,0.415,1.107,"shallow",2022,"Montastraea","Montastraea cavernosa","massive","HC",11.89
"MY","Cheeca Rocks",1.71,9,43.28358209,3,0,0.398,1.107,"shallow",2022,"Mycetophyllia","Mycetophyllia spp.","plating","HC",9.725
"ORA","Cheeca Rocks",1.75,8.7,25.37313433,5,0.011,0.415,1.107,"shallow",2022,"Orbicella","Orbicella annularis","massive","HC",13.554
"ORA","Cheeca Rocks",1.75,8.7,16.41791045,5,0.011,0.415,1.107,"shallow",2022,"Orbicella","Orbicella annularis","massive","HC",13.554
"ORA","Cheeca Rocks",1.75,8.7,25.37313433,5,0.011,0.415,1.107,"shallow",2022,"Orbicella","Orbicella annularis","massive","HC",13.554
"ORF","Cheeca Rocks",1.64,9.3,5.970149254,2,0.021,0.356,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.71,9,67.1641791,3,0,0.398,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.41,10.3,35.82089552,1,0,0.33,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.71,9,26.86567164,3,0,0.398,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.69,9,38.80597015,4,0.00045,0.366,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.75,8.7,13.43283582,5,0.011,0.415,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.69,9,10.44776119,4,0.00045,0.366,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.68,9.1,191.0447761,6,0,0.404,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.71,9,14.92537313,3,0,0.398,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.69,9,13.43283582,4,0.00045,0.366,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.41,10.3,7.462686567,1,0,0.33,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.64,9.3,79.10447761,2,0.021,0.356,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.75,8.7,32.8358209,5,0.011,0.415,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.69,9,110.4477612,4,0.00045,0.366,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.41,10.3,16.41791045,1,0,0.33,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.69,9,17.91044776,4,0.00045,0.366,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.69,9,161.1940299,4,0.00045,0.366,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.71,9,117.9104478,3,0,0.398,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.69,9,34.32835821,4,0.00045,0.366,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.68,9.1,17.91044776,6,0,0.404,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.71,9,10.44776119,3,0,0.398,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.71,9,271.641791,3,0,0.398,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.69,9,11.94029851,4,0.00045,0.366,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.69,9,38.80597015,4,0.00045,0.366,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.64,9.3,325.3731343,2,0.021,0.356,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.64,9.3,7.462686567,2,0.021,0.356,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.75,8.7,23.88059701,5,0.011,0.415,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.69,9,55.2238806,4,0.00045,0.366,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.75,8.7,156.7164179,5,0.011,0.415,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"ORF","Cheeca Rocks",1.71,9,16.41791045,3,0,0.398,1.107,"shallow",2022,"Orbicella","Orbicella faveolata","massive","HC",11.704
"PEY","Cheeca Rocks",1.71,9,29.85074627,3,0,0.398,1.107,"shallow",2022,"Peysonellid","Peysonellid algae","CCA","SCP",0.181
"PEY","Cheeca Rocks",1.75,8.7,7.462686567,5,0.011,0.415,1.107,"shallow",2022,"Peysonellid","Peysonellid algae","CCA","SCP",0.181
"PEY","Cheeca Rocks",1.71,9,29.85074627,3,0,0.398,1.107,"shallow",2022,"Peysonellid","Peysonellid algae","CCA","SCP",0.181
"PEY","Cheeca Rocks",1.68,9.1,13.43283582,6,0,0.404,1.107,"shallow",2022,"Peysonellid","Peysonellid algae","CCA","SCP",0.181
"PEY","Cheeca Rocks",1.68,9.1,5.970149254,6,0,0.404,1.107,"shallow",2022,"Peysonellid","Peysonellid algae","CCA","SCP",0.181
"PEY","Cheeca Rocks",1.71,9,22.3880597,3,0,0.398,1.107,"shallow",2022,"Peysonellid","Peysonellid algae","CCA","SCP",0.181
"POA","Cheeca Rocks",1.41,10.3,7.462686567,1,0,0.33,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.68,9.1,10.44776119,6,0,0.404,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.41,10.3,4.47761194,1,0,0.33,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.69,9,5.970149254,4,0.00045,0.366,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.64,9.3,10.44776119,2,0.021,0.356,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.41,10.3,17.91044776,1,0,0.33,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.41,10.3,4.47761194,1,0,0.33,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.41,10.3,14.92537313,1,0,0.33,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.41,10.3,8.955223881,1,0,0.33,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.41,10.3,10.44776119,1,0,0.33,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.64,9.3,13.43283582,2,0.021,0.356,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.75,8.7,19.40298507,5,0.011,0.415,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.68,9.1,14.92537313,6,0,0.404,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.41,10.3,8.955223881,1,0,0.33,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.64,9.3,17.91044776,2,0.021,0.356,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.41,10.3,17.91044776,1,0,0.33,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.69,9,28.35820896,4,0.00045,0.366,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.71,9,7.462686567,3,0,0.398,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.41,10.3,8.955223881,1,0,0.33,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.69,9,23.88059701,4,0.00045,0.366,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.64,9.3,7.462686567,2,0.021,0.356,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.64,9.3,28.35820896,2,0.021,0.356,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.64,9.3,22.3880597,2,0.021,0.356,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.64,9.3,5.970149254,2,0.021,0.356,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.64,9.3,4.47761194,2,0.021,0.356,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.68,9.1,4.47761194,6,0,0.404,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.41,10.3,7.462686567,1,0,0.33,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.68,9.1,8.955223881,6,0,0.404,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POA","Cheeca Rocks",1.69,9,8.955223881,4,0.00045,0.366,1.107,"shallow",2022,"Porites","Porites astreoides","submassive","HC",7.194
"POP","Cheeca Rocks",1.41,10.3,31.34328358,1,0,0.33,1.107,"shallow",2022,"Porites","Porites porites","branching","HC",15.812
"PSS","Cheeca Rocks",1.71,9,19.40298507,3,0,0.398,1.107,"shallow",2022,"Pseudodiploria","Pseudodiploria strigosa","massive","HC",6.36
"SD","Cheeca Rocks",1.75,8.7,14.92537313,5,0.011,0.415,1.107,"shallow",2022,"Sand","Sand",NA,"S",0
"SD","Cheeca Rocks",1.64,9.3,34.32835821,2,0.021,0.356,1.107,"shallow",2022,"Sand","Sand",NA,"S",0
"SD","Cheeca Rocks",1.64,9.3,56.71641791,2,0.021,0.356,1.107,"shallow",2022,"Sand","Sand",NA,"S",0
"SD","Cheeca Rocks",1.69,9,32.8358209,4,0.00045,0.366,1.107,"shallow",2022,"Sand","Sand",NA,"S",0
"SD","Cheeca Rocks",1.41,10.3,29.85074627,1,0,0.33,1.107,"shallow",2022,"Sand","Sand",NA,"S",0
"SD","Cheeca Rocks",1.69,9,10.44776119,4,0.00045,0.366,1.107,"shallow",2022,"Sand","Sand",NA,"S",0
"SD","Cheeca Rocks",1.71,9,14.92537313,3,0,0.398,1.107,"shallow",2022,"Sand","Sand",NA,"S",0
"SD","Cheeca Rocks",1.69,9,95.52238806,4,0.00045,0.366,1.107,"shallow",2022,"Sand","Sand",NA,"S",0
"SD","Cheeca Rocks",1.69,9,8.955223881,4,0.00045,0.366,1.107,"shallow",2022,"Sand","Sand",NA,"S",0
"SD","Cheeca Rocks",1.64,9.3,50.74626866,2,0.021,0.356,1.107,"shallow",2022,"Sand","Sand",NA,"S",0
"SD","Cheeca Rocks",1.71,9,29.85074627,3,0,0.398,1.107,"shallow",2022,"Sand","Sand",NA,"S",0
"SIR","Cheeca Rocks",1.69,9,2.985074627,4,0.00045,0.366,1.107,"shallow",2022,"Siderastrea","Siderastrea radians","encrusting","HC",7.271
"SIR","Cheeca Rocks",1.68,9.1,7.462686567,6,0,0.404,1.107,"shallow",2022,"Siderastrea","Siderastrea radians","encrusting","HC",7.271
"SIR","Cheeca Rocks",1.41,10.3,1.492537313,1,0,0.33,1.107,"shallow",2022,"Siderastrea","Siderastrea radians","encrusting","HC",7.271
"SIS","Cheeca Rocks",1.41,10.3,5.970149254,1,0,0.33,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.41,10.3,7.462686567,1,0,0.33,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.64,9.3,7.462686567,2,0.021,0.356,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.64,9.3,22.3880597,2,0.021,0.356,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.41,10.3,7.462686567,1,0,0.33,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.41,10.3,14.92537313,1,0,0.33,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.69,9,23.88059701,4,0.00045,0.366,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.68,9.1,46.26865672,6,0,0.404,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.71,9,23.88059701,3,0,0.398,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.41,10.3,19.40298507,1,0,0.33,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.64,9.3,22.3880597,2,0.021,0.356,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.41,10.3,11.94029851,1,0,0.33,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.64,9.3,44.7761194,2,0.021,0.356,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.68,9.1,7.462686567,6,0,0.404,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.64,9.3,26.86567164,2,0.021,0.356,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.69,9,26.86567164,4,0.00045,0.366,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.41,10.3,16.41791045,1,0,0.33,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.71,9,2.985074627,3,0,0.398,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.69,9,35.82089552,4,0.00045,0.366,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.64,9.3,10.44776119,2,0.021,0.356,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.41,10.3,7.462686567,1,0,0.33,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.64,9.3,7.462686567,2,0.021,0.356,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.68,9.1,20.89552239,6,0,0.404,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.71,9,13.43283582,3,0,0.398,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.75,8.7,8.955223881,5,0.011,0.415,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.68,9.1,4.47761194,6,0,0.404,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.69,9,28.35820896,4,0.00045,0.366,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.68,9.1,7.462686567,6,0,0.404,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.69,9,17.91044776,4,0.00045,0.366,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.68,9.1,10.44776119,6,0,0.404,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.69,9,7.462686567,4,0.00045,0.366,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
"SIS","Cheeca Rocks",1.75,8.7,7.462686567,5,0.011,0.415,1.107,"shallow",2022,"Siderastrea","Siderastrea siderea","massive","HC",7.271
